question,answer,comment,access,products,object_id,original_filename,upload_date,last_updated,tags
Are you able to enforce quarterly password change for all users that are providing services to H&M?,Yes,,Internal,,8df8b7e7-4800-45ea-b08e-354fc149d588~7d337829-56ea-42aa-ab89-10424e0015e7~HM_Assessment_Responses.csv~40,HM_Assessment_Responses.csv,2025-08-20T19:32:53.042Z,2025-08-20T19:32:53.042Z,Advertiser
Are transfer systems (e.g. edge servers) in a Demilitarized Zone (DMZ) and not in the production/content network?,NotApplicable,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~108,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
Describe how encryption keys will be managed.,"DV utilizes TLS 1.2/1.3 to encrypt data in transit. DV utilizes full-disk encryption on end point devices.
Our Encryption guidelines are outlined in our Information Security Policy including:
- Model be defined, along with the necessary certificate policies and certification practice
statements. DV provided devices must have encrypted storage.
-Sensitive external transmissions must be encrypted.
-Information stored on or transmitted by DV's systems may only be encrypted using
standardized DV processes and methods.
-Cryptographic keys must be secured, properly managed, and restricted to only
authorized individuals.
-Staff members are restricted from independently deploying encryption solutions that
could prevent authorized retrieval of information stored on DV systems or related
repositories.
-The establishment of a Public Key Infrastructure (PKI) for DV requires that a suitable
trust","To be answered by the vendor. The objective of this requirement is to ensure that all user access and integrations are encrypted. Additionally, the vendor should provide a description confirming that encryption keys are properly managed and access to these keys is strictly limited.",Internal,Advertiser Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~0279b5b5-32ae-4313-be6b-e0189a6ff1e5~SRA risks.xlsx~1,SRA risks.xlsx,2025-09-25T14:56:55.959Z,2025-09-25T14:56:55.959Z,Ahold Delhaize
Is an Application Programming Interface (API) available to clients?,Yes,,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~263,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:48:15.639Z,InfoSec/Privacy
What is the timeframe for revoking access from terminated employees?,"User access is centrally managed using the DoubleVerify ticketing system and is coordinated with the IT Department and HR Department at DoubleVerify. All access requests are treated on a ""least-access principle."" The level of access assigned to a user to the organization's information systems is based on the minimum necessary amount of data access required to carry out legitimate job responsibilities assigned to a user's job classification. After termination, user access is revoked timely.",,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~273,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:01:23.660Z,InfoSec/Privacy
Is a formal disciplinary or sanction policy established for employees who have violated security policies and procedures?  (Justification allowed),"DoubleVerify has policies in place for employees who no longer work at DoubleVerify, were terminated from employment or violated security policies/procedures.",,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~89,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T22:10:06.637Z,InfoSec/Privacy
Do you have a formal breach notification process?,Yes,"Security breaches or other adverse events involving DoubleVerify information assets must be identified and recorded on a timely basis, along with prompt follow-up activities, including any necessary risk assessment, issue escalation and resolution processes.Security operations and events are monitored on a consistent, around-the-clock basis, and security personnel are available at all times to immediately respond as needed to potential incidences and breaches.Security event information must be correlated across computing platforms and systems for enhanced attack profiling.",Internal,,8df8b7e7-4800-45ea-b08e-354fc149d588~088429eb-710e-4478-98b3-8c26d5e2d232~TX_Pub_Questionnaire_Responses.csv~42,TX_Pub_Questionnaire_Responses.csv,2025-04-07T17:12:15.947Z,2025-05-20T18:01:23.652Z,Publisher
"Is security-critical data always cryptographically protected against tampering, forging, and spoofing?",Yes,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~149,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
Have you provided service(s) to AMC previously?,No,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~6,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
How are password expectations communicated to the broader organization?,Doubleverify conducts annual security awareness trainings where password expectations are communicated.&nbsp;DoubleVerify also uses an enterprise password management solution and provides ongoing trainings on the use of the password management solution.<br>Expectations are also documented in the employee handbook that every employee signs.,,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~218,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:01:21.694Z,InfoSec/Privacy
How do you audit privacy and data protection compliance of subcontractors?,"Audit, Contractual Controls, Monitoring, Preventative Controls",,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~ccfa2578-dd25-4401-afdc-7d6d4a876138~IPG_Kinesso_Assessment_Responses.csv~19,IPG_Kinesso_Assessment_Responses.csv,2025-04-21T18:23:54.587Z,2025-05-20T21:46:11.663Z,Advertiser
Are you willing to enter into a Business Associate Agreement (BAA) with an advertiser?,N/A,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~ccfa2578-dd25-4401-afdc-7d6d4a876138~IPG_Kinesso_Assessment_Responses.csv~29,IPG_Kinesso_Assessment_Responses.csv,2025-04-21T18:23:54.587Z,2025-05-20T19:09:19.639Z,Advertiser
"Do you have a security incident response procedure?
If so, please describe.","Yes - Security breaches or other adverse events involving DoubleVerify information assets must be identified and recorded on a timely basis, along with prompt follow-up activities, including any necessary risk assessment, issue escalation and resolution processes.
 Security operations and events are monitored on a consistent, around-the-clock basis, and security personnel are available at all times to immediately respond as needed to potential incidences and breaches.
 Security event information must be correlated across computing platforms and systems for enhanced attack profiling.",,Internal,Advertiser Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~104,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:01:22.700Z,
"Briefly describe the ongoing process for monitoring for, obtaining, testing, and applying available application patches.","DV has a patch management procedure. 
Vulnerability and patch management processes are in place for routine network scanning and remediation of network, application, and OS-level vulnerabilities. Vulnerability scanning is done on a biweekly basis.","To be answered by the vendor. According to our security standards, expectations for deployment of patches is as follows:

 Immediately apply patches for vulnerabilities that are actively impacting the environment. 
 Patches classified as Critical must be applied within 36 hours.
 Patches classified as High must be applied within 7 days.
 Operational Patches should be applied within 30 days.",Internal,Advertiser Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~0279b5b5-32ae-4313-be6b-e0189a6ff1e5~SRA risks.xlsx~4,SRA risks.xlsx,2025-09-25T14:56:55.959Z,2025-09-25T14:56:55.959Z,Ahold Delhaize
"What is the session time-out for this solution, or why is a session time-out not required?","Session Inactivity 
Session expires after 30 min inactivity; can extend if user is active",,Internal,Advertiser Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~0279b5b5-32ae-4313-be6b-e0189a6ff1e5~SRA risks.xlsx~5,SRA risks.xlsx,2025-09-25T14:56:55.959Z,2025-09-25T14:56:55.959Z,Ahold Delhaize
How do you conduct external (third-party) audits of the service? please describe the scope and frequency of audits.,"Our GRC Manager manages multiple audits that we are required to complete on an annual basis including but not limited to - SOX, MRC, and ISO 27001",,Internal,"Advertiser Suite,Publisher Suite",8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~93,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:54:24.655Z,
Is there a cloud audit program to address client audit and assessment requirements?,NotApplicable,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~171,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
"How do you support advertisers that may be required to pass opt-out requests (CPRA Sale/Share for CCBA, and Targeted Advertising)?s",N/A,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~ccfa2578-dd25-4401-afdc-7d6d4a876138~IPG_Kinesso_Assessment_Responses.csv~65,IPG_Kinesso_Assessment_Responses.csv,2025-04-21T18:23:54.587Z,2025-05-20T20:03:35.672Z,Advertiser
Are all company personnel and third party workers required to return all content and client information in their possession upon termination of their employment or contract?,Yes,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~32,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
"Are passwords, cryptographic keys or any other information that is critical to the cryptographic strength ever transmitted or stored in the clear or reused?",No,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~147,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
"Have you segregated duties to ensure that individuals responsible for assigning access to information systems are not themselves end users of those systems (i.e., personnel should not be able to assign access to themselves)?",Yes,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~124,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
Is there a documented privacy policy or procedures to protect confidential information provided to service provider by client?,Yes,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~37,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
"Does your encryption system operate on the basis of cryptographically robust authentication methods such that a valid license, containing cryptographic keys and other information necessary to decrypt the associated content and associated usage rules, is required to access and play each specific instance of the content?",Yes,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~114,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
"Provide a summary of the output of the AI, specifically the decisions that are made from any AI use.","DV's Fraud AI involves the processing of
limited personally identifiable information (i.e.\, IP address and user agent string) through an AI based review process to identify anomalies. Once an anomaly is detected\, the specific case is manually reviewed by DV's FraudLab to determine whether the anomaly is indicative of a fraud scheme.

DV's Brand Safety\, Brand Suitability and Contextual Advertising features rely on AI enhanced content classification activities to ensure the scalability and efficiency of the DV Solutions. The amount of content requiring classification in order to support DV's Brand Safety\, Brand Suitability and Contextual Advertising has grown exponentially over the years\, making AI-aided classification the only feasible option to effectively enable these features. DV's clients make decisions on settings and preferences of how the DV Solutions should promote their goals for their campaigns.",,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~ccfa2578-dd25-4401-afdc-7d6d4a876138~IPG_Kinesso_Assessment_Responses.csv~77,IPG_Kinesso_Assessment_Responses.csv,2025-04-21T18:23:54.587Z,2025-05-20T18:01:23.659Z,Advertiser
"Are incidents communicated to clients whose Assets may have been leaked, stolen or otherwise compromised (e.g., missing client assets), and a post-mortem meeting conducted with management and client?",Yes,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~157,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
Are all protocols denied by default and enable only specific permitted secure protocols on the WAN?,Yes,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~83,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
"Open a request with Cyber Defense to integrate your solution with SIEM, and provide the request number. Establish a process for adding any future components to the SIEM.","DoubleVerify uses an industry standard SIEM tool to correlate and collect logs and event information. Logs contain Username, IP Address, Date, etc. DoubleVerify logs all event information from networks, systems, applications, and hardware. All logs are retained for 90 days. All logs are encrypted and are monitored on a regular basis for anomalies.",To be answered by the vendor. Do you monitor DoubleVerify via a SOC/ SIEM so that in case of a breach you will be able to timely notify us?,Internal,Advertiser Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~0279b5b5-32ae-4313-be6b-e0189a6ff1e5~SRA risks.xlsx~13,SRA risks.xlsx,2025-09-25T14:56:55.959Z,2025-09-25T14:56:55.959Z,Ahold Delhaize
"Are there any Operating System versions in use within the Scoped Services that no longer have patches released? If yes, please describe in the Additional Information section.",No,,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~230,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:01:27.704Z,InfoSec/Privacy
"What security tools are in place on Workstations (e.g., Anti-Virus, Host Based Firewalls, Encryption, Application Whitelisting, etc...)? Please note down the name and function of each security tool.","Anti-Malware, Disk-level Encryption, Firewalls, Intrusion Detection/Intrusion Prevention, Logging, Logical Access Control, Multi-Factor Authentication, Network Authentication, Regular Software Updates, Vulnerability Detection Tools",,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~82,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T19:21:35.630Z,InfoSec/Privacy
Do you scan file-based content for viruses prior to ingest onto the content/production network?,Yes,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~88,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
"Describe your Security Logging and Monitoring process including: * Is there a central repository for logging that has secure controls in-place? What is the process for log management? (e.g. 24/7 monitoring, alerting procedures). * The types of logging (system event, admin actions, all user login etc.). * The parameters logged (date, time, source IP, MAC ,user ID etc.). * Level of logging and retention limits (in DB, applications, network devices etc.). * Do you have file integrity monitoring on critical systems and files? * How are logs monitored and reported for suspicious activity? * Do you restrict, log and monitor access to your information security management systems? (E.g., hypervisors, firewalls, vulnerability scanners, network sniffers, APIs, etc.). * Do you log and alert any changes made to virtual machine images regardless of their running state (e.g., dormant, off or running)? * Are changes made to virtual machines, or moving of an image and subsequent validation of the image's integrity, made immediately available to customers through electronic methods (e.g., portals or alerts)? * Has Database Activity Monitoring been implemented?","DoubleVerify uses an industry standard SIEM tool to correlate and collect logs and event information. Logs contain Username, IP Address, Date, etc. DoubleVerify logs all event information from networks, systems, applications, and hardware. All logs are retained for 1 year. All logs are encrypted and are monitored on a regular basis for anomalies.",,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~5,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T19:30:30.660Z,
"Is there a risk assessment methodology that has been approved by management, communicated to appropriate stakeholders and an owner to maintain and review the program?",Yes,,Internal,,8df8b7e7-4800-45ea-b08e-354fc149d588~7d337829-56ea-42aa-ab89-10424e0015e7~HM_Assessment_Responses.csv~24,HM_Assessment_Responses.csv,2025-08-20T19:32:53.042Z,2025-08-20T19:32:53.042Z,Advertiser
"If applicable, what measures are taken to address identifiability of the Personal Information?","Aggregate Anonymize, Anonymize, Protected Pseudonym, Pseudonym",,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~ccfa2578-dd25-4401-afdc-7d6d4a876138~IPG_Kinesso_Assessment_Responses.csv~8,IPG_Kinesso_Assessment_Responses.csv,2025-04-21T18:23:54.587Z,2025-05-20T18:01:22.701Z,Advertiser
"Please describe the cryptographic controls used to protect data at rest and data in transit in Scoped Systems (information systems, applications, databases, infrastructure, platforms, and networks as it relates to services provided to customer). Please indicate the following: * What is the method of encrypting data at rest? (Table level encryption, file level encryption, full disk encryption, Column level encryption etc.). * What is the method and encryption algorithm of encrypting data in transit? * what is the key management process (e.g. Key generation, storage, distribution, change or update, archival, recovery, revocation, and destruction).","DoubleVerify utilizes TLS 1.2/1.3 to encrypt data in transit. DoubleVerify utilizes full-disk encryption on end point devices.
 Our Encryption guidelines are outlined in our Information Security Policy including:
 - Model be defined, along with the necessary certificate policies and certification practice
 statements. DoubleVerify provided devices must have encrypted storage.
 -Sensitive external transmissions must be encrypted.
 -Information stored on or transmitted by DoubleVerify's systems may only be encrypted using
 standardized DoubleVerify processes and methods.
 -Cryptographic keys must be secured, properly managed, and restricted to only
 authorized individuals.
 -Staff members are restricted from independently deploying encryption solutions that
 could prevent authorized retrieval of information stored on DoubleVerify systems or related
 repositories.
 -The establishment of a Public Key Infrastructure (PKI) for DoubleVerify requires that a suitable
 trust",,Internal,Advertiser Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~64,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T20:51:58.676Z,
"Has the organization experienced any material privacy or security incidents in the past 3 years? If yes, describe.",DoubleVerify has not experienced data breaches affecting impression related PII collected as part of its services in the last three years.,,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~74,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:01:24.715Z,
"Where are IT systems located? How are publicly-accessible systems physically secured?
 
 
 Help with this topic ( https://aholddelhaize.sharepoint.com/sites/gl_dpt_bsa/SitePages/ISR-27--Physical-Security-for-Systems.aspx )","DoubleVerify uses badges, security cameras, and locked doors. Note that no DoubleVerify servers are kept in the office spaces. Please visit DoubleVerify's Trust Center at trust.doubleverify.com for the complete list of subprocessors and their locations.

User access is centrally managed using the DoubleVerify ticketing system and is coordinated with the IT Department and HR Department at DoubleVerify. All access requests are treated on a ""least-access principle."" The level of access assigned to a user to the organization's information systems is based on the minimum necessary amount of data access required to carry out legitimate job responsibilities assigned to a user's job classification. After termination, user access is revoked timely.

The retention for camera footage is set for 90 days.","Requirements: IT systems must be located in a facility in which:

 Access is limited to only required personnel
 Access is controlled by a key or keycard
 An access log (paper or electronic) is maintained
 Cameras are in place and at least 90 days of footage is available",Internal,Advertiser Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~0279b5b5-32ae-4313-be6b-e0189a6ff1e5~SRA risks.xlsx~10,SRA risks.xlsx,2025-09-25T14:56:55.959Z,2025-09-25T14:56:55.959Z,Ahold Delhaize
Are Recovery Time Objectives (RTOs) for systems and applications documented in the Business Continuity and/or Crisis Management Plan?,"Yes, Recovery Time Objectives (RTOs) for systems and applications are indeed documented in the Business Continuity and/or Crisis Management Plan.",,Internal,,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~55,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:01:21.678Z,
Describe your Privacy Controls.,"DoubleVerify has a dedicated privacy team that is responsible for maintaining privacy controls that are required as part of local regulations and contractual obligations. In 2021, joined the APEC CBPR and PRP Privacy Frameworks and started completing annual International Privacy Verification assessments with TrustArc as its accountability agent. In alignment with applicable laws and best practices, DoubleVerify minimized the collection of personal data to the information absolutely necessary and implements privacy by design and privacy by default. DoubleVerify requires employees to complete annual privacy awareness trainings and comply with DoubleVerify policies on the processing and handling of personal information. Additionally, any downstream vendors engaged in the processing of personal information are vetted through an in depth due diligence process and are required to sign applicable compliance documentation that ensures the flow down of relevant privacy and security requirements. To evidence its commitment to security, an integral part of any privacy program, DoubleVerify completes annual SOC 2 Type II, ISO 27001 and 27701 certification.",,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~7,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:01:22.711Z,
"Will you, your staff, or your subcontractors protect OR access Cardholder Data?",No,,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~188,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T21:31:12.672Z,InfoSec/Privacy
"Do you have a defined and documented offboarding process, for e.g. revoking access to IT assets, through disabling accounts immediately upon termination, rights revocation, or role change of a user?",Yes,,Internal,,8df8b7e7-4800-45ea-b08e-354fc149d588~7d337829-56ea-42aa-ab89-10424e0015e7~HM_Assessment_Responses.csv~23,HM_Assessment_Responses.csv,2025-08-20T19:32:53.042Z,2025-08-20T19:32:53.042Z,Advertiser
"Is the use of digital and all types of recording devices (e.g., smart phones, digital cameras, camcorders) prohibited in areas where sensitive content is accessible electronically, viewable, worked with or over in-house QC and playback devices?",No,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~100,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
"Please upload your data classification matrix including data definition, access restrictions and minimum controls specific for your service.","DoubleVerify follows a standard classification matrix incorporating standard, confidential, and proprietary classifications.",,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~114,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T20:42:57.664Z,InfoSec/Privacy
Unique User Identification and Secure log-on procedures,"Access to the DoubleVerify Platform systems and applications is controlled by requiring unique User Login IDs and passwords for each individual user and developer.
 Access to DoubleVerify's trusted internal network requires multi-factor authentication.
 Passwords requirements mandate strong password controls.
 Default accounts on all production systems, including root, are disabled.
 Shared accounts are not allowed within DoubleVerify systems or networks.
 Automated log-on configurations other than the company's approved Password Management provider that store user passwords or bypass password entry are not permitted for use with DoubleVerify workstations or production systems.
 Unsuccessful and successful logon attempts are monitored by Security and Corporate IT teams.",,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~131,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T21:31:12.654Z,
Is there a formalized risk governance plan approved by management that defines the Enterprise Risk Management program requirements?,Yes,,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~282,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T20:03:35.687Z,InfoSec/Privacy
"In the event of a disaster or significant disruption, does your organization have documented plans for business continuity and disaster recovery?",Yes,,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~65,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:01:27.701Z,InfoSec/Privacy
"In the course of providing your product, is data transferred outside the EU/EEA?",Yes,,Internal,,8df8b7e7-4800-45ea-b08e-354fc149d588~088429eb-710e-4478-98b3-8c26d5e2d232~TX_Pub_Questionnaire_Responses.csv~28,TX_Pub_Questionnaire_Responses.csv,2025-04-07T17:12:15.947Z,2025-05-20T20:51:58.674Z,Publisher
"Do you have a process for assisting NYTCo. in carrying out a Data Protection Impact Assessment (DPIA) or consulting with the data protection authority, when required? Please provide.",Yes,,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~160,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T21:31:11.663Z,InfoSec/Privacy
Does your organization have a mitigation strategy for identified potential risks?,Yes,,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~33,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
Description of application or service,"DoubleVerify Publisher Suite Suite is an enterprise-level SaaS analytics and automation platform for premium digital Publisher Suites, providing all revenue, delivery, inventory quality, and performance analytics in one place. The platform allows Publisher Suites to automate campaign delivery based on Advertiser Suite goals and increase revenue through delivery optimization. Designed by a team with 13+ years of experience as Publisher Suite advocates, we serve more than half of the top 50 comScore-ranked web Publisher Suites (ranked by impression volume) and reconcile $12 billion-plus worth of revenue per year. DoubleVerify Publisher Suite Suite seamlessly integrates with hundreds of digital advertising data providers to analyze over 1.2 trillion impressions per month-enabling clients to create transparency, increase efficiency, and maximize yield.",,Internal,,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~46,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:01:22.699Z,Sample
Have you received any request from public authorities related to EEA personal data?,No,,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~163,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T20:51:58.679Z,InfoSec/Privacy
Please provide details on description of service provided (relative to scope of this questionnaire),"Verification services across fraud\, brand suitability\, geo\, and viewability for AMC properties where DV tags have been deployed.",,Private,,8df8b7e7-4800-45ea-b08e-354fc149d588~6e99b6a4-15dd-46fe-a233-5e74a00e53e5~AMC_DVPS_Responses.csv~5,AMC_DVPS_Responses.csv,2025-08-27T17:18:07.435Z,2025-08-27T17:18:07.435Z,Publisher
Is the data shared with any third parties?,No,,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~146,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T21:46:11.669Z,InfoSec/Privacy
"What type of Phreesia's data will be  stored, processed, transmitted, and/or managed in this relationship?

Please be EXPLICIT and DETAILED in noting down the data that will be handled in the relationship by Phreesia and your company.",DoubleVerify will collect data tied to Phreesia's DoubleVerifyPS tag placed on its website. Data will consist of PII (IP Address and User Agent) and non-PII data such as aggregated campaign details,,Internal,Publisher Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~18,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T20:57:46.658Z,InfoSec/Privacy
System Development Life Cycle (SDLC),"Secure software engineering and coding practices are established, documented, and integrated into the Software Development Life Cycle (SDLC). Security considerations are also incorporated into the SDLC, including the Information Security Team's participation and approval for all significant implementations and changes that have security implications. Developers periodically attend secure development training. All new or changed code is reviewed for security vulnerabilities and undergo full quality assurance and regression testing before being introduced into production. Customer Data is not used in development or testing environments without explicit written consent.",,Internal,Advertiser Suite,8df8b7e7-4800-45ea-b08e-354fc149d588~3fc840b5-2a4c-4336-82b4-3070383b6480~DV Initial Import.xlsx~3,DV Initial Import.xlsx,2024-10-29T18:01:20.904Z,2025-05-20T18:54:25.660Z,
